iso3,glottocode,parallel_score,n_pairs_total,total_sent_pairs,n_corpora
gla,scottish gaelic,78.0,726,2535752,6
fry,western frisian,77.99,686,5525392,5
ceb,cebuano,77.85,691,2629807,6
sun,sundanese,77.62,667,10641125,4
glv,manx,76.85,691,3107167,5
ido,ido,76.82,690,3072808,5
kas,kashmiri,76.43,1877,1433398,3
csb,kashubian,76.34,682,2491139,5
lug,ganda,76.33,678,1307086,6
arg,aragonese,76.3,678,2475770,5
shi,tachelhit,76.03,1198,1282943,4
sme,north saami,75.9,667,4585667,4
wol,wolof,75.83,691,1887605,5
bod,tibetan,75.82,669,1051225,6
nya,nyanja,75.76,652,4520706,4
gom,goan konkani,75.72,1839,1064843,3
wuu,wu chinese,75.65,1753,1144213,3
hsb,upper sorbian,75.48,667,3741936,4
gan,gan chinese,75.25,1745,953347,3
yue,yue chinese,75.22,1430,1479621,3
fur,friulian,75.06,666,3062874,4
szl,silesian,75.05,664,735765,6
che,chechen,75.01,665,2987410,4
dzo,dzongkha,74.98,680,1296183,5
hif,fiji hindi,74.94,1670,904050,3
bak,bashkir,74.94,668,2870367,4
ewe,ewe,74.82,692,1147468,5
kab,kabyle,74.81,708,2352092,4
fao,faroese,74.71,681,1128798,5
scn,sicilian,74.4,670,2180767,4
ang,old english (ca. 450-1100),74.35,675,2093823,4
ksh,kölsch,74.33,664,2157774,4
cha,chamorro,74.22,677,903325,5
tso,tsonga,73.98,656,448132,6
snd,sindhi,73.97,664,1810940,4
pnb,western panjabi,73.53,661,1475576,4
arz,egyptian arabic,73.45,668,1383068,4
sco,scots,73.44,663,1403021,4
ssw,swati,73.23,684,1174343,4
inh,ingush,73.13,658,1224568,4
chv,chuvash,73.1,664,1183192,4
san,sanskrit,73.09,657,1204220,4
diq,dimli,72.88,664,2735036,3
vol,volapük,72.82,676,991672,4
ban,balinese,72.78,1307,1872958,2
aeb,tunisian arabic,72.65,1806,839467,2
chr,cherokee,72.59,676,886216,4
hak,hakka chinese,72.55,1292,506388,3
ile,interlingue (occidental),72.45,681,812261,4
tsn,tswana,72.44,653,887879,4
pms,piemontese,72.39,663,2162487,3
krc,karachay-balkar,72.28,661,2057454,3
tir,tigrinya,72.22,669,757470,4
roh,romansh,72.19,667,749801,4
xmf,mingrelian,72.12,663,1894150,3
skr,saraiki,72.09,666,1844226,3
ckb,central kurdish,72.05,667,1802546,3
cdo,min dong chinese,72.03,1926,533744,2
ful,fula,71.99,652,715663,4
dsb,lower sorbian,71.9,662,1705514,3
mni,manipuri,71.85,626,735920,4
lmo,lombard,71.77,659,1619850,3
sah,sakha,71.76,661,1599099,3
vec,venetian,71.76,659,1612774,3
lij,ligurian,71.74,659,1595525,3
oss,iron ossetian,71.73,663,607279,4
div,dhivehi,71.73,664,278843,5
nap,continental southern italian,71.6,659,1487721,3
gsw,central alemannic,71.58,631,1626331,3
kbd,kabardian,71.52,1155,395812,3
cor,cornish,71.52,665,545655,4
ilo,iloko,71.51,657,1434717,3
ltg,east latvian,71.4,652,248270,5
haw,hawaiian,71.29,658,498244,4
pam,pampanga,71.29,652,510101,4
arq,algerian arabic,71.21,625,538260,4
rue,rusyn,71.17,660,1202767,3
lin,kinshasa lingala,71.1,663,445605,4
ady,adyghe,71.06,1009,430702,3
mhr,eastern mari,70.99,657,1115833,3
mnw,mon,70.98,659,1103078,3
xal,oirad-kalmyk-darkhat,70.98,657,1108448,3
lld,ladin,70.95,618,488139,4
kaa,kara-kalpak,70.94,657,1087306,3
ava,avar,70.92,663,409641,4
vep,veps,70.92,656,1081476,3
myv,erzya,70.91,657,1069802,3
lfn,lingua franca nova,70.84,650,1059277,3
bjn,banjar,70.82,658,1021676,3
frr,northern frisian,70.79,654,1018316,3
awa,awadhi,70.77,628,1106413,3
mad,madurese,70.76,650,394854,4
abk,abkhaz,70.74,684,349341,4
min,minangkabau,70.73,652,999708,3
udm,udmurt,70.73,658,977252,3
tyv,tuvinian,70.69,654,973347,3
pap,papiamento,70.66,656,369570,4
mdf,moksha,70.63,651,952469,3
cos,corsican,70.58,655,356415,4
mnc,manchu,70.55,1299,638080,2
hne,chhattisgarhi,70.45,517,5014827,2
koi,komi-permyak,70.42,651,859929,3
kom,komi,70.41,653,851694,3
stq,ems-weser frisian,70.31,664,777947,3
alt,southern altai,70.3,606,956457,3
ary,moroccan arabic,70.29,653,801314,3
war,waray (philippines),70.13,656,734639,3
sat,santali,70.11,655,729251,3
tet,tetum,70.08,658,276703,4
lzh,classical chinese,69.97,655,682843,3
ton,tonga (tonga islands),69.95,645,270816,4
jbo,lojban,69.9,668,244172,4
bug,buginese,69.85,1278,139007,3
bho,bhojpuri,69.78,621,700432,3
mwl,mirandese,69.74,658,601509,3
sgs,samogitian,69.67,651,595609,3
bar,bavarian,69.66,658,578540,3
lad,ladino,69.5,717,439458,3
ext,extremaduran,69.49,655,539564,3
avk,kotava,69.49,627,596210,3
vro,south estonian,69.42,620,591034,3
nqo,n'ko,69.4,657,1733373,2
twi,twi,69.38,651,518114,3
frp,arpitan,69.11,659,1495933,2
kal,kalaallisut,69.1,645,179381,4
shy,chaouia of the aures,68.99,1042,493521,2
azb,south azerbaijani,68.96,660,1385045,2
wal,wolaytta,68.94,684,1267153,2
chu,church slavic,68.92,660,401289,3
tly,north-central talysh,68.81,749,964136,2
bcl,coastal-naga bikol,68.76,658,1267906,2
pcd,picard,68.7,646,377609,3
cpx,pu-xian chinese,68.64,2131,453040,1
cop,coptic,68.61,682,1082792,2
sag,sango,68.6,647,139544,4
lrc,northern luri,68.52,656,1135032,2
smn,inari saami,68.51,660,1114006,2
pdc,pennsylvania german,68.49,651,336030,3
got,gothic,68.48,651,333224,3
jam,jamaican creole english,68.43,620,364585,3
ojb,northwestern ojibwa,68.41,676,1004165,2
zea,zeeuws,68.4,647,324770,3
szy,sakizaya,68.37,628,1163993,2
shn,shan,68.34,657,1032425,2
olo,livvi,68.33,627,1147382,2
mos,mossi,68.32,660,1011628,2
aym,central-southern aymara,68.29,663,112955,4
tcy,tulu,68.26,631,1092817,2
cak,kaqchikel,68.23,674,923770,2
dag,dagbani,68.22,655,982287,2
run,rundi,68.19,651,290015,3
sot,southern sotho,68.18,651,111596,4
kcg,tyap,68.06,653,913803,2
nav,navajo,68.0,647,103726,4
mrj,western mari,67.93,652,860129,2
bxr,russia buriat,67.9,649,859738,2
guw,gun,67.9,653,846537,2
srn,sranan tongo,67.84,642,251891,3
gag,gagauz,67.81,641,249051,3
kjh,khakas,67.78,615,915646,2
hrx,hunsrik,67.71,610,900573,2
anp,angika,67.71,655,765392,2
zgh,standard moroccan tamazight,67.66,657,741228,2
hyw,western armenian,67.64,657,734420,2
acm,gilit mesopotamian arabic,67.64,625,825029,2
grc,ionic-attic ancient greek,67.59,632,782257,2
tpi,tok pisin,67.52,644,214195,3
ike,eastern canadian inuktitut,67.45,1183,174368,2
bam,bambara,67.33,650,73957,4
sdh,southern kurdish,67.24,618,695179,2
pag,pangasinan,67.17,642,181566,3
prg,old prussian,67.16,651,592397,2
arc,imperial aramaic (700-300 bce),67.14,655,579750,2
aln,gheg albanian,67.08,614,652511,2
syl,sylheti,67.05,654,555463,2
mzn,mazanderani,67.03,655,549859,2
ace,acehnese,67.02,654,549117,2
smo,samoan,67.01,638,66133,4
dty,dotyali,66.99,623,602820,2
pfl,pfaelzisch-lothringisch,66.99,651,545833,2
vls,western flemish,66.98,640,166697,3
rup,aromanian,66.94,599,190719,3
fij,fijian,66.85,648,59015,4
nia,nias,66.83,652,502291,2
gor,gorontalo,66.79,623,547424,2
iba,iban,66.77,655,484722,2
gcr,guianese creole french,66.76,653,485577,2
gcf,guadeloupe-martinique creole french,66.68,619,527549,2
dtp,kadazan dusun,66.63,623,506015,2
zha,northern daic,66.62,643,138284,3
hil,hiligaynon,66.62,618,514736,2
bis,bislama,66.62,642,53871,4
kiu,kirmanjki,66.62,646,463006,2
kum,kumyk,66.6,620,505036,2
bpy,bishnupriya manipuri,66.55,649,444601,2
lez,lezgian,66.49,652,426787,2
mfe,morisyen,66.48,592,156250,3
egl,emiliano,66.39,614,465764,2
tig,tigre,66.38,652,404034,2
nov,novial,66.29,654,113089,3
tum,tumbuka,66.21,651,372419,2
glk,gilaki,66.04,651,342751,2
trv,seediq,66.03,643,352179,2
guc,wayuu,65.95,650,329357,2
krl,karelian,65.91,617,365147,2
pnt,pontic,65.9,644,328052,2
ami,amis,65.86,644,321724,2
lkt,lakota,65.83,594,112529,3
apc,levantine arabic,65.77,657,294312,2
pli,pali,65.77,646,35001,4
brx,bodo-mech,65.63,605,98085,3
atj,atikamekw,65.6,617,312545,2
hsn,xiang chinese,65.6,643,284993,2
bew,betawi,65.54,656,1479024,1
lbe,lak,65.33,645,248579,2
bgc,haryanvi,65.32,1280,287222,1
pcm,nigerian pidgin,65.32,602,288806,2
efi,efik,65.29,650,238512,2
kbp,kabiyé,65.29,638,249686,2
rif,tarifiyt-beni-iznasen-eastern middle atlas berber,65.27,642,243697,2
chn,creolized grand ronde chinook jargon,65.25,641,242085,2
knc,central kanuri,65.25,645,238944,2
nod,northern thai,65.16,1219,297377,1
lki,laki,65.16,627,1357911,1
blk,pa'o karen,65.15,658,1210295,1
cjy,jinyu chinese,65.13,1162,58453,2
kge,komering,65.08,823,702733,1
din,dinka,65.07,638,224289,2
lzz,laz,65.06,616,240890,2
cbk,chavacano,64.95,651,59467,3
sms,skolt saami,64.93,655,1101441,1
ase,american sign language,64.93,617,226218,2
nog,nogai,64.92,605,235091,2
liv,liv,64.76,608,214984,2
bcc,southern balochi,64.69,659,964630,1
new,kathmandu valley newari,64.58,645,172252,2
mag,magahi,64.51,657,888343,1
gur,farefare,64.36,653,838481,1
bgn,western balochi,64.34,651,835126,1
prs,dari,64.28,619,163186,2
hoc,ho,64.27,609,168342,2
ruq,megleno romanian,64.22,1174,204056,1
tah,tahitian,64.21,633,44163,3
rmy,vlax romani,64.14,642,139830,2
rsk,pannonian ruthenian,64.14,651,758191,1
fit,meänkieli,64.0,651,708996,1
kus,kusaal,63.98,652,698645,1
eml,emiliano-romagnolo,63.97,645,127640,2
dga,central dagaare,63.94,650,691792,1
sdc,sassarese sardinian,63.88,623,737412,1
ven,venda,63.87,633,14495,4
ses,koyraboro senni songhai,63.79,601,766597,1
bqi,bakhtiari,63.68,618,683503,1
nau,nauru,63.67,639,33249,3
kjp,pwo eastern karen,63.66,656,589529,1
ppl,pipil,63.62,590,131973,2
mrh,mara chin,63.61,654,579391,1
tdd,tai nüa,63.59,649,584860,1
tay,atayal,63.58,619,648055,1
bci,baoulé,63.52,646,570733,1
lus,mizo,63.49,620,615932,1
btm,batak mandailing,63.4,604,628148,1
yrl,nhengatu,63.27,651,496677,1
sje,pite saami,63.25,626,537625,1
sli,lower silesian,63.24,618,551242,1
khw,khowar,63.07,618,507504,1
sro,campidanese sardinian,62.99,649,436297,1
aar,afar,62.96,652,75993,2
rki,rakhine,62.71,620,422367,1
arn,mapudungun,62.68,622,412141,1
sjd,kildin saami,62.68,649,373615,1
mui,musi,62.66,621,409638,1
rap,rapanui,62.66,582,84988,2
gaa,ga,62.64,644,374188,1
wls,east uvean,62.63,649,364594,1
fat,fante,62.62,651,361224,1
cnr,montenegrin standard,62.59,804,219674,1
ccp,chakma,62.59,650,357589,1
luz,southern luri,62.52,614,393888,1
gpe,ghanaian pidgin english,62.49,607,397075,1
igl,igala,62.44,651,330691,1
ksw,s'gaw karen,62.38,650,321992,1
ann,obolo,62.37,648,322264,1
sty,siberian tatar,62.35,651,316324,1
jut,jutish,62.35,599,382799,1
nup,nupe-nupe-tako,62.35,642,325963,1
pes,western farsi,62.35,130,2244856,2
bbc,batak toba,62.32,613,358105,1
gbm,garhwali,62.23,591,66500,2
rmc,central romani,62.21,646,300130,1
pwn,paiwan,62.19,644,300039,1
frc,cajun french,62.15,602,343521,1
niu,niuean,62.15,586,65228,2
sma,south saami,62.09,591,62120,2
kea,kabuverdianu,62.01,649,270191,1
nyn,nyankole,62.01,644,274604,1
cnh,haka chin,61.97,586,59743,2
gld,nanai,61.96,644,267396,1
izh,ingrian,61.96,590,58727,2
fon,fon,61.9,642,261751,1
nrm,narom,61.9,640,47152,2
kri,krio,61.9,599,307849,1
bto,iriga bicolano,61.89,603,300569,1
ttj,tooro,61.88,616,285806,1
kai,karekare,61.85,643,255328,1
dua,duala,61.85,641,256806,1
aae,arbëreshë albanian,61.83,641,254257,1
xsy,saisiyat,61.83,599,297561,1
lua,luba-lulua,61.82,641,252714,1
vmw,makhuwa,61.8,642,249026,1
ryu,central okinawan,61.79,648,242875,1
nyo,nyoro,61.77,618,268701,1
rut,rutul,61.7,641,238525,1
nmz,nawdm,61.66,642,233294,1
acf,saint lucian creole french,61.62,640,229817,1
mak,makasar,61.62,641,229260,1
msi,sabah malay,61.62,640,230564,1
cps,capiznon,61.62,605,261963,1
hke,hunde,61.59,641,226643,1
nys,nyunga,61.57,600,260802,1
ibb,ibibio,61.56,640,224024,1
kaj,jju,61.56,640,224061,1
vmf,ostfränkisch,61.55,609,249591,1
fil,filipino,61.53,133,1427616,2
nit,southeastern kolami,61.5,642,215302,1
mfa,kelantan-pattani malay,61.48,635,39155,2
fvr,fur,61.47,640,213662,1
bol,bole,61.47,640,214439,1
bdr,west coast bajau,61.46,598,249036,1
jje,jejueo,61.43,639,210959,1
mic,mi'kmaq,61.35,586,44233,2
nzi,nzima,61.35,640,202215,1
piu,pintupi-luritja,61.34,645,196849,1
loz,lozi,61.33,591,240058,1
abs,ambonese malay,61.29,595,232041,1
sei,seri,61.27,593,230700,1
wlx,wali (ghana),61.26,639,193487,1
qug,bolivar-north chimborazo highland quichua,61.26,590,232253,1
ipk,alaskan inupiaq,61.17,632,10053,3
kek,kekchí,61.17,101,2230247,2
mdh,maguindanao,61.07,640,176313,1
sxu,central east middle german,61.04,614,190938,1
hno,northern hindko,61.02,640,171365,1
rgn,romagnol,61.0,603,194715,1
tru,turoyo,60.98,609,188308,1
frs,german northern low saxon,60.89,639,161494,1
brh,brahui,60.86,604,181300,1
rej,rejang,60.82,596,183316,1
kck,kalanga,60.77,639,152342,1
pih,pitcairn-norfolk,60.76,634,27687,2
nbl,south transvaal ndebele,60.72,637,26830,2
krj,kinaray-a,60.72,599,172711,1
pdt,plautdietsch,60.59,605,158553,1
wsg,adilabad gondi,60.59,640,139196,1
maw,mampruli,60.45,640,130132,1
mns,northern mansi,60.42,647,124773,1
ldn,láadan,60.32,636,22211,2
xmm,manado malay,60.21,639,116140,1
blc,bella coola,60.21,597,135873,1
yua,yucatec maya,60.1,598,128264,1
akz,alabama,59.96,595,121005,1
abr,abron,59.96,637,103311,1
kik,kikuyu,59.86,630,18080,2
lag,langi,59.72,597,106760,1
mvf,peripheral mongolian,59.72,595,107685,1
kip,sheshi kham,59.67,605,101184,1
nde,zimbabwean ndebele,59.66,630,16426,2
dar,north-central dargwa,59.62,638,87237,1
aii,assyrian neo-aramaic,59.56,638,84915,1
yoi,yonaguni,59.53,636,84295,1
sly,selayar,59.32,588,91068,1
pey,petjo,59.25,633,74258,1
zmi,negeri sembilan malay,59.24,638,72635,1
rom,romani,59.23,105,794302,2
rmf,kalo finnish romani,59.16,588,83994,1
mey,hassaniyya,59.16,639,69358,1
jap,jaruára,59.03,101,4393748,1
kac,southern jinghpaw,58.81,602,67119,1
mwv,mentawai,58.75,584,69983,1
cre,cree,58.64,626,2988,3
rtm,rotuman,58.56,585,63344,1
sju,ume saami,58.54,630,53144,1
ish,esan,58.53,637,51539,1
ajg,aja (benin),58.53,633,52243,1
ekp,ekpeye,58.39,630,49348,1
qwh,huaylas ancash quechua,58.27,590,53896,1
iii,sichuan yi,58.19,577,9760,2
esu,central alaskan yupik,58.06,585,49720,1
cko,anufo,58.04,633,41038,1
tsg,tausug,57.93,630,39363,1
saz,saurashtra,57.67,578,42159,1
ovd,elfdalian,57.66,584,41120,1
pck,paite chin,57.65,101,2230337,1
plt,plateau malagasy,57.64,101,2223029,1
dje,zarma,57.64,101,2227498,1
aro,araona,57.46,597,35375,1
osi,osing,57.27,585,33763,1
bas,basa (cameroon),57.0,629,25052,1
nnh,ngiemboon,56.75,627,22381,1
ttt,muslim tat,56.65,594,24075,1
rag,logooli,56.62,625,21136,1
kua,kuanyama,56.5,390,10486,2
pbb,páez,56.2,582,20232,1
chy,cheyenne,56.14,623,3012,2
ksf,bafia,55.98,576,18659,1
smj,lule saami,55.98,566,19420,1
vai,vai,55.77,624,13975,1
quw,tena lowland quichua,55.53,101,793680,1
dop,lukpa,55.53,101,795249,1
cjp,cabécar,55.53,101,795455,1
usp,uspanteco,55.52,101,789949,1
djk,aukan,55.52,101,787991,1
quc,k'iche',55.52,101,789653,1
amu,guerrero amuzgo,55.51,101,787256,1
jak,jakun,55.51,101,786006,1
mam,mam,55.5,101,780564,1
nhg,tetelcingo nahuatl,55.5,101,783580,1
chq,quiotepec chinantec,55.5,101,782788,1
ppk,uma,55.49,101,780115,1
cni,asháninka,55.49,101,778229,1
gbi,galela,55.48,101,775798,1
bin,bini,55.35,623,11444,1
rml,baltic romani,55.26,626,10854,1
agr,aguaruna,55.25,101,692605,1
dik,southwestern dinka,55.25,101,692040,1
jiv,shuar,55.21,101,678064,1
bzs,brazilian sign language,55.21,621,10796,1
ake,akawaio-ingariko,55.21,101,679129,1
tlh,klingon,55.19,107,31105,3
acu,achuar-shiwiar,55.17,101,666854,1
bsn,barasana-eduria,55.14,101,655723,1
nus,nuer,54.96,610,1774,2
cho,choctaw,54.89,237,4409,3
kbh,camsá,54.83,101,564756,1
cja,western cham,54.76,1383,1383,1
cjm,eastern cham,54.76,1383,1383,1
thr,rana tharu,54.51,623,7608,1
bfa,bari,54.51,578,8997,1
bwr,bura-pabir,54.26,615,6942,1
bnn,bunun,54.2,620,6605,1
ken,kenyang,54.04,565,7569,1
tkr,tsakhur,53.43,574,5412,1
mah,marshallese,53.3,445,1625,2
tmh,tuareg,52.78,99,216370,1
pot,potawatomi,52.74,99,212846,1
yrk,tundra nenets,52.42,575,3291,1
nso,pedi,52.14,110,124671,1
bax,bamun,52.04,923,923,1
gbz,zoroastrian yazdi,51.83,411,5313,1
xon,konkomba,51.17,609,1563,1
bom,berom,51.11,462,510,2
toi,tonga (zambia),50.93,462,467,2
aka,akan,49.93,105,8445,2
ahr,ahirani,49.88,491,1366,1
tmp,tai mène,49.51,91,53018,1
tok,toki pona,48.39,74,49110,1
als,northern tosk albanian,48.27,402,981,1
tsd,tsakonian,48.25,428,843,1
ach,acoli,47.38,462,462,1
jac,popti',47.38,462,462,1
byv,medumba,47.38,462,462,1
naq,nama (namibia),47.38,462,462,1
elm,eleme,47.38,462,462,1
apw,western apache,47.38,462,462,1
ddn,dendi (benin),47.38,462,462,1
ada,adangme,47.38,462,462,1
trw,torwali,47.38,462,462,1
lue,luvale,47.38,462,462,1
laj,lango (uganda),47.38,462,462,1
bkm,kom (cameroon),47.38,462,462,1
tji,northern tujia,47.38,462,462,1
igb,ebira,47.38,462,462,1
bum,bulu (cameroon),47.38,462,462,1
ale,aleut,47.38,462,462,1
dru,rukai,47.37,461,461,1
twd,twents,46.17,255,996,1
bem,bemba (zambia),44.24,90,4141,1
gos,gronings,43.52,74,4548,1
hai,haida,42.3,70,2846,1
zsm,standard malay,42.18,58,4094,1
nhn,tlaxcala-puebla-central nahuatl,42.11,97,1235,1
bzt,brithenig,42.03,73,2266,1
hup,hupa-chilula,41.87,61,563,2
tzl,talossan,41.39,67,2013,1
enm,middle english,40.79,72,1277,1
tzm,central moroccan berber,40.4,100,501,1
kzj,coastal kadazan,40.35,48,2568,1
bzj,belize kriol english,40.05,155,155,1
mus,creek,40.0,38,192,3
kmr,northern kurdish,39.28,51,1324,1
zam,cuixtla-xitla zapotec,39.06,41,1946,1
tmr,jewish babylonian aramaic (ca. 200-1200 ce),38.46,57,691,1
quz,cusco quechua,38.21,65,454,1
sjn,sindarin,38.0,54,625,1
cku,koasati,37.94,48,791,1
swg,swabian,37.13,27,1919,1
qya,quenya,35.96,40,451,1
moh,mohawk,35.94,27,191,2
ota,ottoman turkish,34.81,20,1191,1
hbo,ancient hebrew,34.38,33,320,1
drt,drents,34.14,44,149,1
ave,avestan,33.41,16,976,1
orv,old russian,32.91,11,1705,1
osp,old spanish,32.54,39,89,1
fkv,kven finnish,32.28,14,748,1
hch,huichol,31.73,48,37,1
hus,huastec,30.9,23,129,1
phn,phoenician,30.39,22,111,1
sux,sumerian,29.94,14,238,1
bft,balti,29.78,33,33,1
kha,khasi,29.55,5,1614,1
ain,hokkaido ainu,28.85,8,452,1
zza,zaza,28.39,6,644,1
yaq,yaqui,28.26,11,175,1
hmo,hiri motu,28.15,15,85,1
luo,luo (kenya and tanzania),26.78,7,215,1
zlm,central malay,26.65,8,154,1
shs,shuswap,26.41,7,179,1
bua,buriat,26.29,3,832,1
jpa,jewish palestinian aramaic,26.25,18,22,1
luy,,26.2,7,162,1
ofs,old frisian,24.3,10,30,1
swc,congo swahili,23.79,6,67,1
haz,hazaragi,23.73,12,15,1
max,north moluccan malay,23.61,2,433,1
her,herero,23.61,8,34,1
umb,umbundu,23.34,2,67,2
afb,gulf arabic,23.06,4,102,1
nst,pangwa naga,22.98,1,806,1
lut,northern lushootseed,22.87,4,93,1
oar,old aramaic-sam'alian,22.43,6,34,1
tpw,lingua geral paulista,22.18,3,111,1
afh,afrihili,21.95,3,99,1
nch,central huasteca nahuatl,21.8,3,92,1
nci,classical nahuatl,21.56,16,2,1
nnb,nande,21.41,4,45,1
dng,dungan,21.17,4,40,1
npi,nepali,21.03,2,122,1
fuc,pulaar,20.75,5,21,1
mww,hmong daw,20.34,2,87,1
evn,evenki,20.2,2,81,1
thv,tahaggart tamahaq,19.56,2,59,1
non,old norse,19.42,3,28,1
chg,chagatai,19.41,6,7,1
pal,pahlavi,18.97,4,13,1
fuv,hausa states fulfulde,18.73,2,39,1
mvv,tagal murut,18.66,4,11,1
frm,middle french,18.57,2,36,1
mik,mikasuki,18.39,2,33,1
aoz,uab meto,18.07,2,28,1
ood,tohono o'odham,18.0,2,27,1
fro,old french (842-ca. 1400),17.51,1,55,1
crs,seselwa creole french,17.24,4,5,1
rhg,rohingya,16.97,1,42,1
ngu,central guerrero nahuatl,16.82,1,39,1
lou,louisiana creole french,16.72,2,14,1
pau,palauan,16.61,1,35,1
lub,luba-katanga,16.57,6,1,1
mgm,mambae,16.55,1,34,1
akl,aklanon,16.17,1,28,1
bvy,baybayanon,16.09,1,27,1
emx,erromintxela,15.67,2,8,1
otk,old turkish,15.36,3,3,1
kpv,komi-zyrian,15.3,1,18,1
ngt,kriang-khlor,15.3,1,18,1
tvl,tuvalu,15.07,1,16,1
gil,gilbertese,14.95,1,15,1
nlv,orizaba nahuatl,14.95,1,15,1
cpi,chinese pidgin english,14.47,2,4,1
kam,kamba (kenya),14.36,1,11,1
laa,lapuyan subanun,14.18,1,10,1
qxq,qashqa'i,13.99,1,9,1
tmw,temuan,13.26,1,6,1
hnj,hmong njua,12.94,1,5,1
tts,northeastern thai,12.59,2,1,1
ckt,chukchi,12.57,1,4,1
mnr,mono (usa),12.11,1,3,1
jdt,judeo-tat,12.11,1,3,1
cay,cayuga,8.41,5,0,0
ajp,south levantine arabic,7.55,4,0,0
syc,classical syriac,5.15,2,0,0
tkl,tokelau,5.15,2,0,0
igs,interglossa,3.25,1,0,0
ayl,libyan arabic,3.25,1,0,0
kxi,keningau murut,3.25,1,0,0
